record_id,location_id,source_id,time_of_record,visit_count_x,time_in_queue,assigned_employee_id,type_of_water_source,number_of_people_served,address,province_name,town_name,location_type,subjective_quality_score,results,pollutant_ppm,biological,functionality_status,hour,month,year
60146,MOKI00000,MOKI00000224,5/24/2023 11:31,1,336,18,tap_in_home_broken,0,Mjambere,Mombasa,Kisauni,Urban,,,,,,,,
60147,NAST00001,NAST00001224,11/15/2025 7:26,4,60,5,shared_taps,0,,Nairobi,Starehe,Urban,,,,,,,,
60148,KISO00002,KISO00002224,3/11/2025 8:32,1,179,20,shared_taps,32173,Bogetenga,Kisii,South Mugirango,Urban,,,,,functional,,,
60149,KISO00003,KISO00003224,3/16/2025 14:39,5,180,3,shared_taps,24141,Boikang'A,Kisii,South Mugirango,Urban,,,,,,,,
60150,MIKU00004,MIKU00004224,2/21/2024 12:54,1,481,8,tap_in_home,30145,Nyabasi East,Migori,Kuria East,Rural,,,,,partially_functional,,,
60151,MIKU00005,MIKU00005224,10/5/2023 14:08,3,45,38,well,30835,Ntimaru West,Migori,Kuria East,Rural,,Contaminated: Chemical,,,partially_functional,,,
60152,KISO00006,KISO00006224,1/3/2023 13:17,2,118,4,well,18500,Getenga,Kisii,South Mugirango,Rural,,Contaminated: Chemical,,,,,,
60153,KISO00007,KISO00007224,10/21/2024 18:47,5,136,41,tap_in_home,46014,Borabu / Chitago,Kisii,South Mugirango,Urban,,,,,,,,
60154,MIKU00008,MIKU00008224,3/9/2023 13:49,4,38,11,shared_taps,16533,Ntimaru East,Migori,Kuria East,Urban,,,,,functional,,,
60155,KIBO00009,KIBO00009224,7/6/2022 19:02,2,232,29,well,43670,Bosoti/Sengera,Kisii,Bomachoge Chache,Urban,,Contaminated:Biological,,,,,,
60156,KIBO00010,KIBO00010224,4/16/2024 7:29,1,332,12,shared_taps,41038,Boochi/Tendere,Kisii,Bomachoge Chache,Rural,,,,,,,,
60157,KIBO00011,KIBO00011224,7/4/2025 12:43,4,215,15,tap_in_home,32069,Magenche,Kisii,Bomachoge Borabu,Urban,,,,,,,,
