record_id,location_id,source_id,time_of_record,visit_count_x,time_in_queue,assigned_employee_id,type_of_water_source,number_of_people_served,address,province_name,town_name,location_type,subjective_quality_score,visit_count_y,results,pollutant_ppm,biological,functionality_status,hour,month
0,SoIl32582,SoIl32582224,1/1/2021 9:10,1,15,12,river,402,36 Pwani Mchangani Road,Sokoto,Ilanga,Urban,0,1,,,,non_functional,9,January
1,KiRu28935,KiRu28935224,1/1/2021 9:17,1,0,46,well,252,129 Ziwa La Kioo Road,Kilimani,Rural,Rural,1,1,Contaminated: Biological,0,495.898,functional,9,January
2,HaRu19752,HaRu19752224,1/1/2021 9:36,1,62,40,shared_tap,542,18 Mlima Tazama Avenue,Hawassa,Rural,Rural,5,1,,,,partially_functional,9,January
3,AkLu01628,AkLu01628224,1/1/2021 9:53,1,0,1,well,210,100 Mogadishu Road,Akatsi,Lusaka,Urban,10,1,Contaminated: Biological,0,6.09608,functional,9,January
4,AkRu03357,AkRu03357224,1/1/2021 10:11,1,28,14,shared_tap,2598,1 Savanna Street,Akatsi,Rural,Rural,4,1,,,,functional,10,January
5,KiRu29315,KiRu29315224,1/1/2021 10:17,1,9,40,river,862,26 Bahari Ya Faraja Road,Kilimani,Rural,Rural,0,1,,,,non_functional,10,January
6,AkRu05234,AkRu05234224,1/1/2021 10:18,1,0,30,tap_in_home_broken,496,104 Kenyatta Street,Akatsi,Rural,Rural,9,1,,,,non_functional,10,January
7,KiRu28520,KiRu28520224,1/1/2021 10:28,1,0,34,tap_in_home,562,145 Sungura Amanpour Road,Kilimani,Rural,Rural,10,1,,,,functional,10,January
8,HaZa21742,HaZa21742224,1/1/2021 10:37,1,0,6,well,308,117 Kampala Road,Hawassa,Zanzibar,Urban,2,1,Contaminated: Chemical,2.715,0,functional,10,January
9,AmDa12214,AmDa12214224,1/1/2021 10:58,1,0,36,tap_in_home,556,33 Angélique Kidjo Avenue,Amanzi,Dahabu,Urban,10,1,,,,functional,10,January
10,HaRu19725,HaRu19725224,1/1/2021 11:04,1,0,16,well,296,38 Mlima Tazama Avenue,Hawassa,Rural,Rural,3,1,Clean,0.0288593,9.57E-05,functional,11,January
11,KiRu26704,KiRu26704224,1/1/2021 11:04,1,17,26,shared_tap,562,42 Malabo Drive,Kilimani,Rural,Rural,7,1,,,,functional,11,January
12,SoRu35008,SoRu35008224,1/1/2021 11:04,1,240,1,shared_tap,3746,55 Fennec Way,Sokoto,Rural,Rural,10,1,,,,partially_functional,11,January
13,AkKi00851,AkKi00851224,1/1/2021 11:14,1,0,32,tap_in_home,404,17 Port Harcourt Boulevard,Akatsi,Kintampo,Urban,10,1,,,,functional,11,January
14,AmDa11956,AmDa11956224,1/1/2021 11:16,1,0,6,tap_in_home,376,30 Nyoka Achebe Street,Amanzi,Dahabu,Urban,10,1,,,,functional,11,January
15,SoRu35703,SoRu35703224,1/1/2021 11:29,1,0,32,well,308,52 Moroni Avenue,Sokoto,Rural,Rural,1,1,Contaminated: Biological,0,22.5009,functional,11,January
16,HaRu17502,HaRu17502224,1/1/2021 11:33,1,0,48,tap_in_home,682,81 Rhodes Street,Hawassa,Rural,Rural,10,1,,,,functional,11,January
