record_id,location_id,source_id,time_of_record,visit_count_x,time_in_queue,assigned_employee_id,type_of_water_source,number_of_people_served,address,province_name,town_name,location_type,subjective_quality_score,results,pollutant_ppm,biological,functionality_status,hour,month,year
60146.0,MOKI00000,MOKI00000224,2023-05-24 11:31:00,1,336,18,tap_in_home_broken,0.0,Mjambere,Mombasa,Kisauni,Urban,,,,,non_functional,11.0,May,2023.0
60147.0,NAST00001,NAST00001224,2025-11-15 07:26:00,4,60,5,shared_taps,0.0,,Nairobi,Starehe,Urban,,,,,non_functional,7.0,November,2025.0
60148.0,KISO00002,KISO00002224,2025-03-11 08:32:00,1,179,20,shared_taps,32173.0,Bogetenga,Kisii,South Mugirango,Urban,,,,,non_functional,8.0,March,2025.0
60149.0,KISO00003,KISO00003224,2025-03-16 14:39:00,5,180,3,shared_taps,24141.0,Boikang'A,Kisii,South Mugirango,Urban,,,,,non_functional,14.0,March,2025.0
60150.0,MIKU00004,MIKU00004224,2024-02-21 12:54:00,1,481,8,tap_in_home,30145.0,Nyabasi East,Migori,Kuria East,Rural,,,,,non_functional,12.0,February,2024.0
60151.0,MIKU00005,MIKU00005224,2023-10-05 14:08:00,3,45,38,well,30835.0,Ntimaru West,Migori,Kuria East,Rural,,Contaminated: Chemical,,,non_functional,14.0,October,2023.0
60152.0,KISO00006,KISO00006224,2023-01-03 13:17:00,2,118,4,well,18500.0,Getenga,Kisii,South Mugirango,Rural,,Contaminated: Chemical,,,non_functional,13.0,January,2023.0
60153.0,KISO00007,KISO00007224,2024-10-21 18:47:00,5,136,41,tap_in_home,46014.0,Borabu / Chitago,Kisii,South Mugirango,Urban,,,,,non_functional,18.0,October,2024.0
60154.0,MIKU00008,MIKU00008224,2023-03-09 13:49:00,4,38,11,shared_taps,16533.0,Ntimaru East,Migori,Kuria East,Urban,,,,,non_functional,13.0,March,2023.0
60155.0,KIBO00009,KIBO00009224,2022-07-06 19:02:00,2,232,29,well,43670.0,Bosoti/Sengera,Kisii,Bomachoge Chache,Urban,,Contaminated:Biological,,,non_functional,19.0,July,2022.0
60156.0,KIBO00010,KIBO00010224,2024-04-16 07:29:00,1,332,12,shared_taps,41038.0,Boochi/Tendere,Kisii,Bomachoge Chache,Rural,,,,,non_functional,7.0,April,2024.0
60157.0,KIBO00011,KIBO00011224,2025-07-04 12:43:00,4,215,15,tap_in_home,32069.0,Magenche,Kisii,Bomachoge Borabu,Urban,,,,,non_functional,12.0,July,2025.0
60158.0,KIBO00012,KIBO00012224,2025-10-23 11:44:00,3,324,14,river,44167.0,Bokimonge,Kisii,Bomachoge Borabu,Rural,,,,,non_functional,11.0,October,2025.0
60159.0,KIBO00013,KIBO00013224,2023-07-18 07:06:00,4,347,4,river,22879.0,Sameta/Mokwerero,Kisii,Bobasi,Rural,,,,,non_functional,7.0,July,2023.0
60160.0,KIBO00014,KIBO00014224,2025-01-14 09:17:00,5,17,42,shared_taps,22381.0,Masige West,Kisii,Bobasi,Urban,,,,,non_functional,9.0,January,2025.0
60161.0,KIBO00015,KIBO00015224,2022-12-27 18:22:00,2,501,13,shared_taps,27111.0,Bombaba Borabu,Kisii,Bomachoge Borabu,Urban,,,,,non_functional,18.0,December,2022.0
60162.0,KIBO00016,KIBO00016224,2024-02-01 06:52:00,1,90,13,shared_taps,21475.0,Masige East,Kisii,Bobasi,Urban,,,,,non_functional,6.0,February,2024.0
60163.0,KIBO00017,KIBO00017224,2024-12-17 06:11:00,4,535,30,river,26250.0,Bobasi Boitangare,Kisii,Bobasi,Rural,,,,,non_functional,6.0,December,2024.0
60164.0,KIBO00018,KIBO00018224,2025-09-06 12:11:00,1,416,30,river,16600.0,Boochi Borabu,Kisii,Bomachoge Borabu,Rural,,,,,non_functional,12.0,September,2025.0
60165.0,NAKI00019,NAKI00019224,2022-02-23 08:55:00,3,103,33,well,49579.0,Keyian,Narok,Kilgoris,Rural,,Contaminated:Biological,,,non_functional,8.0,February,2022.0
60166.0,MINY00020,MINY00020224,2023-11-08 05:26:00,3,357,46,shared_taps,32290.0,Muhuru,Migori,Nyatike,Urban,,,,,non_functional,5.0,November,2023.0
60167.0,MINY00021,MINY00021224,2023-04-04 15:38:00,3,231,6,tap_in_home_broken,30781.0,Kachien'G,Migori,Nyatike,Urban,,,,,non_functional,15.0,April,2023.0
60168.0,MINY00022,MINY00022224,2025-02-27 19:48:00,4,25,45,shared_taps,21415.0,Kanyasa,Migori,Nyatike,Rural,,,,,non_functional,19.0,February,2025.0
60169.0,MINY00023,MINY00023224,2022-11-24 09:18:00,2,114,1,tap_in_home_broken,40382.0,North Kadem,Migori,Nyatike,Urban,,,,,non_functional,9.0,November,2022.0
60170.0,MINY00024,MINY00024224,2023-05-08 18:03:00,1,210,47,shared_taps,29735.0,Got Kachola,Migori,Nyatike,Rural,,,,,non_functional,18.0,May,2023.0
60171.0,MINY00025,MINY00025224,2024-11-23 17:03:00,5,16,11,shared_taps,30204.0,Macalder/Kanyarwanda,Migori,Nyatike,Urban,,,,,non_functional,17.0,November,2024.0
60172.0,MINY00026,MINY00026224,2022-05-16 19:43:00,1,82,39,river,13723.0,Kaler,Migori,Nyatike,Rural,,,,,non_functional,19.0,May,2022.0
60173.0,MISU00027,MISU00027224,2023-07-18 11:19:00,1,314,27,well,36155.0,Wasimbete,Migori,Suna West,Rural,,Contaminated:Biological,,,non_functional,11.0,July,2023.0
60174.0,MISU00028,MISU00028224,2024-04-05 09:19:00,5,146,48,tap_in_home,37349.0,Wiga,Migori,Suna West,Urban,,,,,non_functional,9.0,April,2024.0
60175.0,HOND00029,HOND00029224,2022-12-23 08:24:00,5,42,22,river,24510.0,Kanyadoto,Homa Bay,Ndhiwa,Rural,,,,,non_functional,8.0,December,2022.0
60176.0,MIUR00030,MIUR00030224,2023-10-11 15:55:00,1,203,25,tap_in_home,42405.0,North Kanyamkago,Migori,Uriri,Urban,,,,,non_functional,15.0,October,2023.0
60177.0,MISU00031,MISU00031224,2024-02-02 12:35:00,2,38,14,shared_taps,49935.0,Kakrao,Migori,Suna East,Urban,,,,,non_functional,12.0,February,2024.0
60178.0,HOND00032,HOND00032224,2022-07-20 10:23:00,4,163,47,well,8985.0,Kanyikela,Homa Bay,Ndhiwa,Rural,,Clean,,,non_functional,10.0,July,2022.0
60179.0,MIUR00033,MIUR00033224,2025-02-02 12:43:00,2,195,6,well,25575.0,Central Kanyamkago,Migori,Uriri,Rural,,Contaminated:Biological,,,non_functional,12.0,February,2025.0
60180.0,MISU00034,MISU00034224,2022-06-22 10:07:00,1,269,24,tap_in_home,28012.0,Wasweta Ii,Migori,Suna West,Urban,,,,,non_functional,10.0,June,2022.0
60181.0,MIKU00035,MIKU00035224,2022-12-17 13:34:00,2,303,5,river,34924.0,Nyamosense/Komosoko,Migori,Kuria West,Rural,,,,,non_functional,13.0,December,2022.0
60182.0,MIKU00036,MIKU00036224,2025-04-21 17:00:00,5,397,43,tap_in_home_broken,29787.0,Tagare,Migori,Kuria West,Rural,,,,,non_functional,17.0,April,2025.0
60183.0,MISU00037,MISU00037224,2024-11-27 19:41:00,4,402,7,shared_taps,36431.0,Ragana-Oruba,Migori,Suna West,Urban,,,,,non_functional,19.0,November,2024.0
60184.0,MIKU00038,MIKU00038224,2022-01-02 08:49:00,4,164,0,shared_taps,16586.0,Isibania,Migori,Kuria West,Urban,,,,,non_functional,8.0,January,2022.0
60185.0,MISU00039,MISU00039224,2022-12-16 12:45:00,3,375,33,well,26425.0,Suna Central,Migori,Suna East,Rural,,Contaminated:Biological,,,non_functional,12.0,December,2022.0
60186.0,MIAW00040,MIAW00040224,2023-03-22 08:43:00,3,1,6,river,29872.0,West Sakwa,Migori,Awendo,Rural,,,,,non_functional,8.0,March,2023.0
